"Avdeling","Formel","Forklaringsgrad"
"15 SB","Rating = 4.517 + 0.274Positiv + -1.460Produkter + -1.970Kundeservice + -2.517Renhold","0.545"
"33 DG","Rating = 4.454 + 0.460Positiv + -0.706Dyre_P + -2.214Produkter + -0.605Kundeservice + -0.518Ventetid + -2.156Renhold + -1.454Annet_N","0.533"
"13 VT","Rating = 4.431 + 0.388Positiv + -0.969Dyre_P + -1.372Produkter + -1.727Kundeservice + -1.431Annet_N","0.402"
"32 MB","Rating = 4.267 + 0.553Positiv + -1.429Produkter + -1.331Kundeservice","0.376"
"40 FLOTT","Rating = 4.391 + 0.517Positiv + -0.845Dyre_P + -1.749Produkter + -1.957Kundeservice + -1.028Ventetid","0.492"
"20 TG","Rating = 4.305 + 0.516Positiv + -0.611Dyre_P + -1.039Produkter + -1.406Kundeservice","0.374"
"38 SAND","Rating = 4.380 + 0.719Positiv + -1.634Kundeservice","0.597"
"17 TM","Rating = 4.457 + -2.385Produkter + -1.292Kundeservice","0.491"
"14 TA","Rating = 4.357 + 0.379Positiv + -1.893Produkter + -1.774Kundeservice","0.594"
"31 LAG","Rating = 4.385 + 0.353Positiv + -1.099Dyre_P + -1.674Produkter + -1.649Kundeservice","0.332"
"27 NY","Rating = 4.402 + -2.122Produkter + -2.561Kundeservice","0.632"
"36 FEST","Rating = 4.312 + -1.875Dyre_P + -3.312Produkter","0.621"
"22 MA","Rating = 4.519 + -1.013Produkter + -2.582Kundeservice + -2.519Annet_N","0.595"
"26 CH","Rating = 4.470 + 0.348Positiv + -1.039Dyre_P + -1.118Produkter + -1.120Kundeservice + -1.723Ventetid","0.466"
"30 SOL","Rating = 4.362 + 0.424Positiv + -1.223Dyre_P + -1.273Produkter + -1.362Kundeservice + -1.362Annet_N","0.583"
"12 VA","Rating = 4.281 + 0.516Positiv + -1.646Produkter + -1.818Kundeservice + -3.281Annet_N","0.517"
"29 TS","Rating = 4.255 + 0.436Positiv + -2.768Produkter","0.350"
"19 HS","Rating = 4.324 + 0.445Positiv + -1.782Produkter + -2.422Kundeservice + -1.052Renhold","0.620"
"25 BH","Rating = 4.066 + 0.757Positiv + -1.198Produkter + -2.395Renhold","0.492"
"11 NK","Rating = 4.303 + 0.431Positiv + -0.619Dyre_P + -1.042Produkter + -1.688Kundeservice + -0.575Ventetid + -2.455Annet_N","0.584"
"21 NV","Rating = 4.403 + 0.398Positiv + -0.743Dyre_P + -1.605Produkter + -2.422Kundeservice + -1.122Renhold","0.471"
"23 FS","Rating = 4.300 + 0.591Positiv + -1.211Dyre_P + -1.191Produkter + -1.095Renhold","0.562"
"28 GR","Rating = 4.515 + -1.186Dyre_P + -2.423Produkter","0.632"
"24 HO","Rating = 4.538","0.192"
